GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
PetClinic - TFG - Rafael Sanabria Espárrago,org.springframework.samples.petclinic.vet,VetService,0,167,0,2,0,29,0,17,0,16
PetClinic - TFG - Rafael Sanabria Espárrago,org.springframework.samples.petclinic.vet,Specialty,0,3,0,0,0,1,0,1,0,1
PetClinic - TFG - Rafael Sanabria Espárrago,org.springframework.samples.petclinic.vet,VetRestController,85,9,0,0,13,4,5,1,5,1
PetClinic - TFG - Rafael Sanabria Espárrago,org.springframework.samples.petclinic.vet,SpecialtyRestController,88,6,0,0,14,3,5,1,5,1
PetClinic - TFG - Rafael Sanabria Espárrago,org.springframework.samples.petclinic.vet,Vet,3,27,0,0,1,6,1,7,1,7
PetClinic - TFG - Rafael Sanabria Espárrago,org.springframework.samples.petclinic.util,RestPreconditions,32,0,6,0,11,0,7,0,4,0
PetClinic - TFG - Rafael Sanabria Espárrago,org.springframework.samples.petclinic.util,EntityUtils,10,22,2,4,2,4,3,2,1,1
PetClinic - TFG - Rafael Sanabria Espárrago,org.springframework.samples.petclinic.util,CallMonitoringAspect,83,0,4,0,24,0,9,0,7,0
PetClinic - TFG - Rafael Sanabria Espárrago,org.springframework.samples.petclinic.auth,AuthController,71,15,2,0,13,6,4,1,3,1
PetClinic - TFG - Rafael Sanabria Espárrago,org.springframework.samples.petclinic.auth,AuthService,0,148,0,3,0,40,0,4,0,2
PetClinic - TFG - Rafael Sanabria Espárrago,org.springframework.samples.petclinic.visit,Visit,0,34,0,0,0,8,0,9,0,9
PetClinic - TFG - Rafael Sanabria Espárrago,org.springframework.samples.petclinic.visit,VisitValidator,37,0,8,0,9,0,7,0,3,0
PetClinic - TFG - Rafael Sanabria Espárrago,org.springframework.samples.petclinic.visit,VisitRestController,400,15,30,0,63,6,22,1,7,1
PetClinic - TFG - Rafael Sanabria Espárrago,org.springframework.samples.petclinic.visit,VisitService,0,139,1,9,0,30,1,15,0,10
